symbol,candidate_id,family,stop_atr_multiple,parameter_stability,robust,validation_sharpe,validation_return_pct,walk_forward_median_sharpe,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,trades,dynamic_leverage_sharpe,dynamic_leverage_return_pct,dynamic_leverage_max_drawdown_pct,dynamic_leverage_no_trade_or_below_1x_pct
ETH/USDT,breakout_atr_60_1.0,breakout_atr,2.5,1.0,True,0.9492516824253092,35.12306890810963,1.1168389222524737,1.4412326960892625,118.51718292120043,-26.669878227479018,1.1295670608200474,99.5,108,-0.23612229727301556,-0.09132776895045547,-0.16019939034156438,99.9949971650602
ETH/USDT,vol_breakout_20_1.0,volatility_breakout,2.5,0.4,False,0.2914120481086735,5.922195469546265,0.1782969810509309,0.52295675653979,30.557396359383038,-37.36071010419444,0.215751948144712,49.0,279,,,,
ETH/USDT,vol_breakout_20_1.5,volatility_breakout,2.5,0.6,False,0.05244284335337686,-1.987888651226688,0.0928162151135504,0.44516964225553163,17.922975689775654,-34.72870003454087,-0.02142022157699176,43.0,67,,,,
ETH/USDT,vol_breakout_40_1.0,volatility_breakout,2.5,0.4,False,0.7308819384755315,28.136499238504076,0.6036558489943624,0.6233104367425701,40.69071546258145,-36.318665129519324,0.7699448296382536,77.5,236,,,,
ETH/USDT,vol_breakout_40_1.5,volatility_breakout,2.5,0.6,False,0.012640377148952957,-3.2516648295929595,0.4941774995040149,0.7833546549667,43.48516225849621,-17.95821569739392,0.26246930518945877,54.50000000000001,79,,,,
ETH/USDT,vol_breakout_60_1.0,volatility_breakout,2.5,0.4,False,0.9196073324391992,38.26299996236098,0.7922193735765337,1.1178282919202511,105.1015039559291,-29.960712908107123,0.7822944132186478,76.0,205,,,,
ETH/USDT,vol_breakout_60_1.5,volatility_breakout,2.5,0.6,False,0.10112098783511958,-0.7007606724180881,0.30864820209858496,0.6756237914084436,36.188843685553685,-18.80035229330651,0.06853345486189054,47.0,84,,,,
ETH/USDT,mean_reversion_24_1.5_0.02,mean_reversion,2.0,0.4,False,-0.8916301566082979,-23.549400111764218,-0.6645312739407641,-0.7223371816360226,-35.58259132292427,-40.82593907612182,-0.9326120706305608,1.0,447,,,,
ETH/USDT,mean_reversion_24_1.5_0.04,mean_reversion,2.0,0.4,False,-0.7200570416715305,-20.886437410911864,-0.7017616670715987,-0.6419187898929836,-33.40558182849295,-38.82613040481796,-0.7962333044781267,1.5,450,,,,
ETH/USDT,mean_reversion_24_2.0_0.02,mean_reversion,2.0,0.4,False,-0.022288146267876164,-2.6853269836929483,-0.041698414426167056,-0.033204409108344816,-6.487117557312172,-28.737247382836372,-0.3929841102390175,27.0,328,,,,
ETH/USDT,mean_reversion_24_2.0_0.04,mean_reversion,2.0,0.4,False,0.22403697872658784,3.406880934686729,-0.053410634806506145,-0.21837475521981883,-14.68929526202375,-35.52379722010457,-0.34939201154522315,25.5,332,,,,
ETH/USDT,mean_reversion_48_1.5_0.02,mean_reversion,2.0,0.4,False,-0.12166842688499327,-4.323582583130181,-0.019132070688224617,-0.14335403526491924,-10.328123052302452,-25.485996564308667,-0.07160405049771532,46.0,238,,,,
ETH/USDT,mean_reversion_48_1.5_0.04,mean_reversion,2.0,0.4,False,0.2235460684654596,3.255182770605569,0.19341120410030954,0.12139109069643082,0.5750022622381001,-25.48599656430881,0.28261096977619904,55.00000000000001,240,,,,
ETH/USDT,mean_reversion_48_2.0_0.02,mean_reversion,2.0,0.4,False,0.12082304710182734,0.9757336124607274,-0.16861791905994195,-0.3187371297847627,-14.053711527543566,-24.82363069862352,-0.15194138878031743,31.0,158,,,,
ETH/USDT,mean_reversion_48_2.0_0.04,mean_reversion,2.0,0.6,False,0.6654701133976129,13.160190738004363,0.006440987355186084,-0.08766533558779559,-6.598915943009542,-23.095085962167605,0.00579808861821831,42.0,159,,,,
ETH/USDT,momentum_filter_6_24_6,momentum_trend_filter,2.5,0.0,False,-3.1840224374303703,-87.87621025645687,-2.9294331765044195,-3.0023845466038512,-97.43020648614082,-97.87882484716529,-2.379655411824542,0.0,1998,,,,
ETH/USDT,momentum_filter_6_24_12,momentum_trend_filter,2.5,0.0,False,-2.3227399109794473,-80.3379179427429,-1.6787244880268777,-1.6318686321641593,-88.83498542243947,-90.89923143882737,-1.3386071514035183,9.0,1425,,,,
